heures_etude,absences,notes_precedentes,heures_sommeil,participation,reseaux_sociaux,motivation,soutien_famille,activite_extra,stress,note_finale,reussite,risque_abandon,niveau
5.993428306022466,1,13.836809430316178,9.274174270532566,1.0,5.961336157267447,5.0,6.0,5.0,1.0,20.0,1,0,Très Bien
4.72347139765763,1,7.321692662621324,4.738670583049869,7.0,3.123502873996577,3.0,10.0,4.0,4.0,18.845909883759248,1,0,Très Bien
6.295377076201385,4,8.766837762625196,7.015031727610854,9.0,2.282880144945127,10.0,7.0,4.0,10.0,20.0,1,0,Très Bien
8.046059712816051,1,13.02947566259225,5.966958349832148,8.0,1.495327215940701,9.0,8.0,3.0,6.0,20.0,1,0,Très Bien
4.531693250553328,3,13.868832091239923,6.533542800270892,7.0,2.229214798712132,5.0,8.0,5.0,7.0,20.0,1,0,Très Bien
4.531726086101639,1,13.924624934808037,7.603774314602982,1.0,1.8015213611828667,7.0,9.0,3.0,3.0,20.0,1,0,Très Bien
8.158425631014783,2,9.638891163200103,8.004157557313702,7.0,2.7659685568505106,1.0,10.0,5.0,9.0,20.0,1,0,Très Bien
6.534869458305818,5,9.06520305220128,6.831810334582983,2.0,5.530089730229919,2.0,2.0,3.0,4.0,16.841503817781412,1,0,Très Bien
4.061051228130096,4,10.480095498636242,4.129989497915796,2.0,0.8110366407369942,4.0,7.0,3.0,5.0,16.855632561638625,1,0,Très Bien
6.085120087171929,3,12.719618256854176,5.5524316291357305,8.0,0.9163743657304151,9.0,0.0,2.0,8.0,20.0,1,0,Très Bien
4.0731646143750755,3,16.456432107817648,8.34474950530025,8.0,2.6480467364070526,5.0,6.0,4.0,3.0,20.0,1,0,Très Bien
4.068540492859486,5,5.857688442687749,3.0,8.0,0.9556161744712579,5.0,4.0,2.0,8.0,17.55248782237267,1,0,Très Bien
5.483924543132068,3,11.3378137291249,8.781140727522999,3.0,1.5270952406837548,9.0,1.0,3.0,1.0,20.0,1,0,Très Bien
1.1734395106844042,2,8.001964676924388,7.781844985966812,6.0,3.508739828415756,8.0,1.0,2.0,8.0,15.952861914919321,1,0,Très Bien
1.5501643349739345,1,7.043271967939531,8.974264122295033,7.0,2.921094311681493,2.0,7.0,4.0,10.0,19.796019352389564,1,1,Très Bien
3.8754249415180544,2,14.90086993603445,6.70214621967856,4.0,3.6577644233392475,7.0,4.0,4.0,8.0,20.0,1,0,Très Bien
2.9743377593311524,1,13.633873723498017,3.9078918639656424,0.0,3.8865870303924437,1.0,10.0,3.0,6.0,18.60717106424532,1,0,Très Bien
5.628494665190548,2,13.348300547841786,7.645543962259747,8.0,5.013890890763768,10.0,2.0,4.0,5.0,20.0,1,0,Très Bien
3.1839518489575784,1,14.76307751919298,8.911979686057512,5.0,3.568550058168218,9.0,0.0,2.0,9.0,20.0,1,0,Très Bien
2.175392597329417,3,10.560843309701593,8.387082708270132,2.0,4.807471473809689,3.0,10.0,1.0,6.0,17.465561582055066,1,0,Très Bien
7.931297537843108,3,10.702087450999414,6.005962774767947,2.0,3.1606117549481834,2.0,6.0,4.0,1.0,20.0,1,0,Très Bien
4.548447399026928,6,18.557191850167722,7.13014161319397,9.0,3.5856450929201076,4.0,10.0,2.0,6.0,20.0,1,0,Très Bien
5.1350564093758475,5,11.260286837221276,6.200745596830114,0.0,3.5662808697055493,4.0,2.0,2.0,1.0,18.44294410118909,1,0,Très Bien
2.1505036275730864,6,14.205396339162274,5.771100303715942,7.0,3.426837001533516,3.0,6.0,2.0,6.0,16.034135298648117,1,0,Très Bien
3.9112345509496347,1,12.019144622889945,8.433082856769776,1.0,3.308513218412163,2.0,1.0,4.0,3.0,18.845658817085877,1,0,Très Bien
5.2218451794197325,2,6.455224409764755,5.203701533102256,0.0,5.731475653362993,5.0,3.0,1.0,6.0,18.085619213602605,1,0,Très Bien
2.6980128451553944,4,5.866112988596195,5.6592753541275815,6.0,4.047144318744013,4.0,1.0,3.0,6.0,12.516065969233152,1,1,Bien
5.751396036691344,2,10.263047340180286,5.3439615497914215,10.0,2.328918865163978,5.0,3.0,3.0,1.0,20.0,1,0,Très Bien
