heures_etude,absences,notes_precedentes,heures_sommeil,participation,reseaux_sociaux,motivation,soutien_famille,activite_extra,stress,note_finale,reussite,risque_abandon,niveau
6.241785382528082,2,12.34824428290774,6.4316242356904425,7.0,4.584879996622064,10.0,0.0,3.0,7.0,13.49100641817525,1,0,Bien
4.654339247072039,3,14.922399972479084,10.135583019591328,8.0,2.468374946307242,10.0,7.0,4.0,2.0,13.334428944818145,1,0,Bien
6.619221345251731,3,10.533524496697956,8.29119615791909,1.0,1.7188680305073047,6.0,5.0,1.0,9.0,11.009921438372928,1,1,Assez Bien
8.807574641020064,3,11.71920249646007,8.407929353588468,7.0,1.9602647706086622,3.0,9.0,1.0,3.0,12.152345334276411,1,0,Bien
4.41461656319166,2,11.400080635707367,8.77971390357099,7.0,4.824982569546637,1.0,6.0,4.0,2.0,11.435142016422056,1,0,Assez Bien
4.414657607627048,5,11.006312272247449,7.841533125037173,4.0,3.5173189194166468,7.0,4.0,3.0,5.0,11.103258772194,1,0,Assez Bien
8.948032038768478,5,7.187300768007628,7.2412170952271575,4.0,9.200785645272834,10.0,5.0,1.0,1.0,7.315228958815383,0,0,Insuffisant
6.918586822882272,4,14.879556106030126,8.324613793295935,3.0,3.9993916359436974,5.0,5.0,5.0,5.0,12.643346515813214,1,0,Bien
3.8263140351626195,3,12.033183788555926,5.907667791563961,4.0,4.471825998595572,10.0,8.0,2.0,10.0,11.312161552139903,1,0,Assez Bien
6.356400108964912,7,12.382085215009022,4.171073977267358,1.0,0.0,5.0,9.0,3.0,4.0,10.725542827547716,1,0,Assez Bien
3.8414557679688444,4,8.177216298410462,8.445993869248646,1.0,0.6548512488887859,8.0,3.0,4.0,6.0,9.519445830763894,0,0,Passable
3.835675616074358,3,9.392728607037657,9.47547621149845,4.0,1.1964964486051457,5.0,10.0,3.0,5.0,10.192601506017683,1,0,Assez Bien
5.6049056789150855,0,10.383530308012276,4.763536121287937,10.0,2.6674233496525597,5.0,4.0,5.0,9.0,14.874722313988167,1,0,Très Bien
0.21679938835550505,2,5.63056357292902,8.643842964831801,2.0,0.29440694489401853,1.0,3.0,3.0,5.0,9.14954991595748,0,0,Passable
0.6877054187174183,3,5.091879861808127,10.36153142677638,0.0,1.1126767124080779,2.0,0.0,0.0,8.0,6.183283451763243,0,1,Insuffisant
3.594281176897568,3,8.897382242765012,6.9955075964857585,8.0,5.662343294926668,5.0,9.0,4.0,2.0,10.700710788603095,1,1,Assez Bien
2.4679221991639406,5,12.828822682548365,5.3639956305165075,1.0,1.8503438271235133,7.0,5.0,2.0,3.0,4.420125994885442,0,0,Insuffisant
5.785618331488185,4,8.714019135245207,7.2460373470535115,9.0,3.897468455020279,3.0,4.0,4.0,3.0,12.27788307648146,1,0,Bien
2.7299398111969726,5,7.434181808432503,5.898932063598597,1.0,5.480350785629878,1.0,3.0,0.0,3.0,2.8312029522175726,0,1,Insuffisant
1.4692407466617712,7,8.148600213668153,5.7665397800871965,3.0,6.366549872793112,2.0,5.0,4.0,6.0,7.766405767471246,0,1,Insuffisant
8.664121922303885,3,9.406301518991405,7.866368134543086,1.0,4.731310326342619,3.0,4.0,4.0,7.0,11.169446172850044,1,0,Assez Bien
